date,time,cash,total_asset,pnl
2026-01-14,21:20:44,1000000.00,1000000.00,0.00
2026-01-14,21:21:29,1000000.00,1000000.00,0.00
2026-01-14,21:22:39,1000000.00,1000000.00,0.00
